,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,Cyclelife,cycle_log
0,-2.072647967,-2.541601611,-2.507213266,-0.274040637,0.129790365,0.000767931,-0.000206807,1.091143732,3.53E-05,1.072424693,1.0706892,0.4683652,1.0759126,13.374894,35.994705,29.012251,3097.042122,0.016742354,0.016443744,-7.52E-05,1852,3.267640982
1,-1.764057861,-2.34806965,-2.368282615,0.033501873,-0.45762675,-0.000809314,1.03E-05,1.08484612,-4.42E-05,1.089364321,1.0799223,0.0081312,1.0849404,13.35824233,35.127342,29.269444,3084.890135,0.01686798,0,-1.38E-05,2237,3.349665984
2,-1.855176959,-2.240331542,-2.323654574,-0.440634335,0.125100669,-0.000916774,1.90E-05,1.081874821,-2.93E-05,1.085538347,1.0784167,0.0058999,1.0826457,12.04185067,35.651741,29.092649,3081.926451,0.016787428,0,-5.33E-05,1709,3.232742063
3,-1.421520794,-1.796829547,-1.884221694,-0.389408127,0.092745233,-0.004688861,-4.81E-06,1.081157026,-6.22E-05,1.085484911,1.0758358,0.0063032,1.0792426,10.076479,36.496124,29.495056,3162.727047,0.017001977,0,-0.000333346,636,2.803457116
4,-1.54174789,-1.938902016,-2.029474583,-0.368971416,0.072680249,-0.003251318,1.82E-05,1.086771425,-1.30E-05,1.088946321,1.0829742,0.0059757,1.0876312,11.207956,36.799232,29.999718,3198.856716,0.016978227,0.016611163,-3.37E-05,1054,3.022840611
5,-1.548306331,-1.922769556,-2.022817664,-0.549054366,0.118359685,-0.002537903,2.62E-05,1.074764977,-1.95E-05,1.07814312,1.0709661,0.0068777,1.0762016,10.764334,37.818813,29.769632,3241.551649,0.017121186,0.016649306,-6.81E-05,880,2.944482672
6,-1.5589859,-1.906445029,-2.049489582,-0.910272068,0.089233166,-0.004475491,2.32E-05,1.085288383,-3.06E-05,1.089363988,1.0811664,0.0074255,1.0863206,10.11310767,37.566532,29.542667,3176.911423,0.01683085,0,-1.48E-05,862,2.935507266
7,-1.35523443,-1.683979581,-1.824823017,-1.28333827,0.129215481,-0.008717842,-0.000294542,1.101465004,-0.000105866,1.074975859,1.0661705,1.817914,1.0645274,9.958173667,36.084282,29.688587,3119.430903,0.019886132,0.015845969,-0.003994543,691,2.839478047
8,-1.19667656,-1.484179347,-1.683401449,-0.616772288,0.030486792,-0.021207678,-0.000139776,1.076969671,-0.000233113,1.084587725,1.07263,0.0030942,1.0612478,9.021115,35.504932,29.662241,3150.86638,0.015740737,0,-0.000580528,534,2.727541257
9,-1.523552178,-1.87482397,-2.020179566,-0.844134617,0.090118977,-0.005262941,-6.95E-06,1.082815554,-2.04E-05,1.083739446,1.0792934,0.004493,1.0816909,11.44700633,36.165897,29.545927,3135.130054,0.016937815,0.016472535,-9.14E-06,1014,3.006037955
