,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,Cyclelife,cyle_log
0,-1.632426848,-1.99558501,-2.122340179,-0.709694604,0.068884546,-0.003767809,-5.35E-06,1.070659091,-4.19E-05,1.073592474,1.0674551,0.0039161,1.0694544,10.044531,33.974361,30.64265223,3155.148238,0.015398955,0.015180224,-0.000128412,1009,3.003891166
1,-1.651224532,-2.016778931,-2.142554099,-0.543073173,0.05076408,-0.003753382,-1.47E-05,1.068472358,-6.47E-05,1.072881217,1.0650603,0.0036796,1.0664777,10.04113867,38.707848,31.221146,3413.622588,0.015162034,0.014931546,-0.000102823,1063,3.026533265
2,-1.571272268,-1.970396519,-2.058086629,-0.319166474,0.008770857,-0.003719433,-1.27E-05,1.065298418,-7.75E-05,1.071194784,1.0628892,0.002645,1.0635946,10.04206533,40.076626,31.780437,3536.128531,0.015006617,0.014885032,5.61E-05,1115,3.047274867
3,-1.605368409,-1.995401847,-2.089015581,-0.36065353,0.044585786,-0.003055656,-5.23E-06,1.074804658,-2.38E-05,1.076184468,1.0724765,0.0027885,1.0738586,10.04503133,33.39357831,30.86325642,3147.541607,0.015246842,0.015085269,-6.73E-05,1048,3.020361283
4,-1.594395868,-1.941355158,-2.056994731,-0.78786009,0.108811655,-0.003516727,-1.60E-05,1.053974207,-6.30E-05,1.058087015,1.0514506,0.0026052,1.0518515,10.04191,40.19554383,31.60561894,3484.763151,0.015374157,0.015130546,-0.000167234,828,2.918030337
5,-1.274074926,-1.544887619,-1.762636841,-0.315910258,-0.061941634,-0.02215991,-0.000202398,1.064081999,-0.000243287,1.068014835,1.0626124,0.0004592,1.04378,10.06247167,37.461433,30.94306117,3342.547044,0.013527169,0.013527169,0.000320148,667,2.824125834
6,-1.768045875,-2.152564374,-2.244153838,-0.467522164,0.079457689,-0.002131123,-2.36E-06,1.070297655,-6.75E-05,1.076085287,1.0675218,0.0033972,1.0684743,11.04157733,34.60008198,31.00022334,3214.186777,0.015535541,0.015372629,-3.54E-05,1836,3.263872677
7,-1.57107236,-1.927883668,-2.045684623,-0.667416149,0.106922666,-0.003410334,-3.31E-06,1.068174847,-3.77E-05,1.070842241,1.0647362,0.0039782,1.067026,10.04495,35.54589716,30.969942,3239.487989,0.015438134,0.01520093,-0.000172681,828,2.918030337
8,-1.529071212,-1.839291073,-1.990931221,-1.252987647,0.129437322,-0.004967161,6.68E-07,1.072825256,-8.25E-06,1.073239733,1.0694826,0.0038881,1.0724456,10.04174933,35.68543912,31.0201248,3242.674231,0.015903223,0.015742281,-2.94E-05,1039,3.016615548
9,-1.719125239,-2.07908483,-2.205460706,-0.610911056,0.076230822,-0.003161444,-2.88E-06,1.064525264,-0.000113952,1.074603958,1.0617746,0.0032262,1.0623909,11.04500333,35.20887742,30.42616191,3188.473581,0.015551002,0.015318613,-0.000143864,1078,3.032618761
10,-1.467406442,-1.806299754,-1.942243326,-0.853274963,0.10229864,-0.005870842,-1.77E-05,1.070729462,-3.90E-05,1.072246544,1.0680679,0.0026928,1.0682998,10.04221833,38.22832464,31.117903,3351.980946,0.015608084,0.015485173,-4.96E-05,817,2.912222057
11,-1.498462568,-1.814886031,-1.973177733,-2.045376078,0.108352195,-0.006072419,-6.68E-06,1.076676032,-2.38E-05,1.077940266,1.0741653,0.0027777,1.0755343,10.04249167,36.1158558,30.95178679,3255.643362,0.016139418,0.01599754,-4.04E-05,932,2.969415912
