,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,Cyclelife,cycle_log
0,-1.958456657,-2.387256967,-2.506762553,-0.367163344,0.012464331,-0.001194152,5.54E-06,1.08096458,-4.13E-05,1.084767,1.0753012,0.0092883,1.0806297,13.40915,34.712265,29.230637,3070.271766,0.017038831,0,-4.20E-05,2160,3.334453751
1,-1.722149303,-2.127506642,-2.221089424,-0.357485561,0.03957902,-0.001759018,1.71E-05,1.084075016,-3.68E-06,1.085131095,1.0797229,0.0065301,1.0847498,12.02513967,31.691414,29.023619,2934.239337,0.016369704,0,3.86E-05,1434,3.156549151
2,-1.598965335,-1.955698894,-2.089221726,-0.825794342,0.089030884,-0.003880525,1.12E-05,1.079754795,-2.32E-05,1.082084999,1.0761266,0.0059438,1.0797794,10.96784967,34.654667,28.914812,3030.315513,0.016437579,0.015922785,-0.000111867,1074,3.031004281
3,-1.417557233,-1.778697226,-1.906525783,-0.477012756,0.049425777,-0.007319803,-6.43E-06,1.09725427,-4.06E-05,1.099840619,1.0938644,0.0041042,1.0957625,10.02508167,36.053928,29.368095,3134.969863,0.016311171,0,-3.84E-05,870,2.939519253
4,-1.625407203,-2.076849012,-2.073231009,-0.225594077,0.081187197,0.000581834,2.18E-05,1.058971606,-1.16E-05,1.061117519,1.0537786,0.0094604,1.0599719,11.668876,37.128967,29.87781,3210.35319,0.016575078,0,-0.000303578,788,2.896526217
5,-1.538433128,-1.958090839,-2.008757296,-0.316954268,0.09706841,-0.000944834,2.90E-05,1.066175368,-2.44E-05,1.070170135,1.0611236,0.0082151,1.0677497,10.79770567,38.47617,29.44138,3248.493147,0.017168047,0.016542939,-0.000253296,719,2.85672889
6,-1.507687163,-1.874742746,-1.98486247,-0.591780484,0.110826083,-0.003769687,1.79E-05,1.076194039,-1.27E-05,1.078266405,1.072052,0.0071738,1.0769763,10.14688067,37.208405,29.182228,3144.765764,0.016778639,0.016238289,2.22E-05,857,2.932980822
7,-1.338256453,-1.696668386,-1.809736158,-0.563163903,0.105651445,-0.007128245,-1.04E-05,1.08889662,-3.33E-05,1.090313945,1.0851147,0.0041907,1.0870851,9.924738333,37.49086,29.91865,3238.33188,0.016449727,0.016205151,-6.61E-05,788,2.896526217
8,-1.188959728,-1.513462171,-1.67495177,-1.044954055,0.058077511,-0.016681426,-8.18E-05,1.086397504,-0.000159053,1.092649285,1.0824388,0.0034874,1.0767291,8.964706333,37.615559,29.948643,3247.341442,0.015348774,0,-0.000203807,559,2.747411808
9,-1.496997833,-1.857813742,-1.969114006,-0.469975711,0.105233575,-0.00420689,2.02E-06,1.07792995,-7.40E-05,1.084523121,1.0745355,0.0045395,1.0776314,12.147216,37.596226,30.30908,3271.036413,0.016687831,0.016390581,-4.86E-06,1017,3.007320953
10,-1.416184199,-1.748357957,-1.897392743,-0.931561192,0.106078636,-0.007151987,-1.52E-05,1.091350021,-9.83E-05,1.098625475,1.0876514,0.0038948,1.0893713,10.76481967,37.077717,30.189548,3249.342212,0.016376387,0.016129743,1.29E-05,870,2.939519253
11,-1.429299712,-1.777332351,-1.922138648,-0.845779952,0.092889828,-0.006957487,-7.73E-06,1.08108969,-3.48E-05,1.083175631,1.0777475,0.003847,1.0796947,11.12990733,38.303513,30.421293,3309.847905,0.016742077,0.016467512,6.38E-05,860,2.934498451
12,-1.389176102,-1.751557798,-1.872132353,-0.544863539,0.088841604,-0.006137662,-1.64E-05,1.083658496,-3.75E-05,1.085152836,1.0798637,0.0039545,1.0814074,10.13017967,37.483994,30.457619,3286.997914,0.016072329,0.015838005,5.84E-05,709,2.850646235
13,-1.341356375,-1.683394961,-1.823014493,-0.807834047,0.107022205,-0.008212426,-1.28E-05,1.081323039,-3.84E-05,1.083227069,1.0778366,0.0038201,1.0793804,10.096438,37.14436,30.193592,3241.929734,0.016239462,0.015933495,5.13E-05,731,2.863917377
14,-1.429245314,-1.793704248,-1.924090823,-0.821307408,0.071845251,-0.005515266,-3.13E-07,1.08008595,-3.01E-05,1.082449982,1.0766174,0.004865,1.0794187,11.067937,37.240925,29.709148,3201.170751,0.0169825,0.016567618,-2.84E-05,742,2.870403905
15,-1.35045675,-1.676905742,-1.834533415,-1.617615702,0.109824665,-0.009246867,-7.18E-06,1.081642895,-4.10E-05,1.084323084,1.0778315,0.0045278,1.0802411,11.52484333,34.868446,30.028351,3140.649062,0.016480684,0.016229769,8.79E-05,704,2.847572659
16,-1.248600812,-1.572445833,-1.716306831,-1.195108382,0.129801972,-0.01211406,-9.44E-06,1.076282799,-7.16E-06,1.075664488,1.0729513,0.0036465,1.0749754,10.24306667,37.995705,30.288816,3302.107264,0.016260354,0.016066672,8.90E-05,617,2.790285164
17,-1.536171058,-1.898637645,-2.027389097,-0.604665456,0.093944667,-0.005164813,-8.20E-06,1.087348426,-4.21E-05,1.089952279,1.0833029,0.0045033,1.0857353,12.07122267,38.388569,30.003733,3279.06455,0.016756468,0.016480761,6.66E-05,966,2.984977126
18,-1.349598771,-1.68614943,-1.832710637,-0.967808152,0.119335705,-0.008207832,2.11E-06,1.08378139,-3.26E-05,1.086507071,1.0798725,0.0049595,1.0832821,11.17109367,38.397423,30.125891,3291.345373,0.0167679,0.016511114,0.000103314,702,2.846337112
19,-1.230644303,-1.532701369,-1.710132747,-0.856735788,0.110348796,-0.015959881,-3.36E-05,1.08855646,-5.14E-05,1.089854065,1.0847682,0.0035624,1.0847102,10.27110433,36.804283,29.747217,3190.235032,0.017436398,0.017142953,0.000152771,616,2.789580712
20,-0.868309264,-1.146677406,-1.372639315,-0.310813309,-0.054311,-0.060687624,-0.000354731,1.07883863,-0.000696795,1.108732469,1.0700541,0.0035296,1.038452,10.24416467,33.972218,26.734909,2944.977147,0.017505454,0.016423751,-0.00021299,300,2.477121255
21,-1.263094289,-1.610985208,-1.746412134,-0.769043504,0.108508492,-0.010613542,-1.28E-05,1.078679621,-5.64E-05,1.081637856,1.0735391,0.0064283,1.0759984,10.075615,39.198795,28.835936,3209.329731,0.017894397,0.017209327,-0.000232082,438,2.641474111
22,-1.193764577,-1.491719462,-1.675785268,-0.795787759,0.05590189,-0.019982972,-0.00010675,1.077330645,-0.000189493,1.084105793,1.0728973,0.0027499,1.0650914,10.124655,38.022896,29.794935,3224.407304,0.016936054,0.015997788,-0.00085516,444,2.64738297
23,-1.139918711,-1.405886257,-1.621977517,-0.361250728,0.005525264,-0.029010827,-0.000214386,1.075658243,-0.000290691,1.081211722,1.0687391,0.0037921,1.0521992,10.19462267,38.299351,29.188963,3212.13423,0.016829265,0.015648872,-0.001029189,511,2.7084209
24,-1.248020978,-1.557622745,-1.731141789,-1.05543352,0.082594809,-0.015396412,-4.15E-05,1.076324939,-0.000125932,1.083208858,1.0717047,0.0042239,1.0705185,10.107076,38.132206,30.125391,3254.451996,0.017606791,0.017036082,-0.00052274,477,2.678518379
